id_cliente,edad,antiguedad_meses,cargo_mensual,cantidad_servicios,consultas_soporte,reclamos_ultimo_anio,horas_uso_mensual,tipo_contrato,medio_pago,satisfaccion,gasto_anual,abandono
C1036,23,14,63900,3,3,1,38.4,Anual,Efectivo,5.5,1034000,1
C1037,32,12,84300,2,3,1,69.8,Mensual,Debito automatico,6.9,1231000,0
C1038,41,28,150100,4,3,0,110.9,Bianual,Debito automatico,8.6,1843000,0
C1039,30,24,51900,1,1,3,29.1,Mensual,Transferencia,4.4,668000,1
C1040,42,23,94300,2,3,3,56.9,Anual,Transferencia,2.0,1184000,1
C1041,38,32,124700,3,3,0,95.5,Anual,Transferencia,8.8,1611000,1
C1042,58,95,136700,4,1,1,58.6,Bianual,Debito automatico,6.4,1612000,0
C1043,39,33,117000,2,3,4,80.7,Mensual,Transferencia,4.5,1419000,1
C1044,31,30,140200,3,0,0,93.8,Anual,Debito automatico,9.3,1831000,0
C1045,64,103,128300,5,0,1,76.1,Bianual,Tarjeta,5.8,1582000,0
C1046,48,87,146400,5,2,0,83.0,Anual,Transferencia,5.6,1961000,0
C1047,27,48,161500,4,1,2,115.6,Bianual,Debito automatico,10.0,2080000,0
C1048,32,70,152800,5,1,0,90.7,Anual,Debito automatico,8.7,1991000,0
C1049,27,26,95900,2,8,5,60.2,Mensual,Debito automatico,3.6,1285000,1
C1050,27,8,54200,1,6,0,58.1,Mensual,Tarjeta,5.2,1035000,1
C1051,25,1,107200,2,2,0,49.5,Mensual,Transferencia,5.8,1423000,0
C1052,24,16,48700,1,2,2,28.9,Mensual,Debito automatico,4.9,526000,1
C1053,41,31,62600,2,6,3,62.1,Mensual,Debito automatico,5.2,815000,0
C1054,39,24,67900,1,9,5,65.1,Bianual,Debito automatico,,944000,1
C1055,39,13,69000,2,6,4,67.8,Mensual,Debito automatico,5.5,791000,0
C1056,39,26,50300,1,8,1,40.3,Anual,Debito automatico,3.6,577000,1
C1057,46,47,134600,3,1,0,63.3,Anual,Transferencia,7.0,1777000,0
C1058,23,29,110800,3,5,0,73.8,Mensual,Debito automatico,7.8,1463000,1
C1059,24,1,48300,2,8,3,18.6,Mensual,Efectivo,3.1,662000,1
C1060,18,16,79200,3,2,2,23.7,Anual,Tarjeta,6.2,1111000,1
C1061,36,1,91700,3,8,4,72.2,Anual,Transferencia,3.9,1100000,1
C1062,41,51,112000,2,1,0,85.3,Anual,Tarjeta,9.3,1238000,0
C1063,50,41,128300,4,3,0,91.1,Mensual,Debito automatico,5.9,1595000,0
C1064,46,42,97900,3,7,3,42.4,Mensual,Efectivo,5.6,1370000,0
C1065,38,17,75400,2,7,2,54.6,Mensual,Transferencia,5.1,1038000,1
C1066,37,57,165100,4,1,0,97.4,Anual,Debito automatico,9.9,1992000,0
C1067,45,42,148500,4,0,1,97.5,Mensual,Debito automatico,8.2,1848000,0
C1068,37,50,118100,3,1,1,76.4,Mensual,Debito automatico,9.6,1529000,0
C1069,27,18,72500,2,3,3,36.6,Mensual,Efectivo,4.6,1058000,1
C1070,49,42,162200,5,0,1,123.2,Mensual,Debito automatico,9.2,2077000,0
C1071,22,22,50400,1,3,2,33.7,Mensual,Tarjeta,5.4,593000,0
C1072,48,34,105800,3,0,0,76.9,Mensual,Tarjeta,6.2,1291000,1
C1073,58,82,146500,4,1,1,69.2,Bianual,Transferencia,6.0,1727000,0
C1074,19,21,57200,1,4,1,35.5,Mensual,Transferencia,6.4,784000,1
C1075,35,17,32800,1,0,1,31.6,Mensual,Transferencia,5.4,631000,1
C1076,47,75,102200,3,3,1,87.5,Anual,Transferencia,8.8,1313000,0
C1077,42,37,143500,5,0,1,64.9,Anual,Transferencia,6.0,1815000,0
C1078,30,5,81000,2,8,5,46.6,Mensual,Efectivo,1.4,1147000,1
C1079,34,34,128400,4,0,0,85.6,Bianual,Transferencia,10.0,1626000,0
C1080,31,33,92000,1,4,5,59.4,Mensual,,5.2,1102000,1
C1081,41,31,92300,3,6,1,52.9,Mensual,Transferencia,2.8,1474000,1
C1082,33,49,140500,4,3,1,85.2,Anual,Debito automatico,8.3,1768000,0
C1083,56,62,124100,4,3,1,73.0,Anual,Tarjeta,8.7,1600000,0
C1084,18,19,90200,2,4,1,48.2,Mensual,Tarjeta,6.9,1245000,0
C1085,25,1,65500,2,2,2,32.4,Mensual,Efectivo,6.6,900000,1
C1086,28,24,53600,1,6,2,40.4,Anual,Efectivo,7.8,815000,0
C1087,57,64,105700,3,12,3,53.3,Anual,Debito automatico,3.2,1302000,1
C1088,29,53,158300,5,0,2,97.2,Anual,Debito automatico,8.3,2061000,0
C1089,40,16,58200,1,0,1,40.0,Mensual,Transferencia,6.4,762000,0
C1090,42,41,119100,3,2,0,101.9,Anual,Debito automatico,8.0,1587000,0
C1091,30,1,92800,2,7,0,45.4,Anual,Tarjeta,5.9,1158000,0
C1092,37,16,110800,3,5,5,71.4,Anual,Tarjeta,4.2,1339000,0
C1093,45,33,98800,2,0,0,86.4,Bianual,Tarjeta,8.3,1240000,0
C1094,40,28,129300,4,1,0,91.9,Anual,Debito automatico,7.0,1671000,0
C1095,53,72,140300,3,1,0,105.0,Anual,Tarjeta,9.3,1661000,0
C1096,32,28,107300,3,7,5,51.6,Mensual,Transferencia,2.9,1545000,1
C1097,51,53,111900,3,1,0,77.9,Bianual,Tarjeta,8.0,1420000,0
C1098,22,4,62100,1,3,1,,Mensual,Efectivo,6.0,802000,1
C1099,26,6,94400,3,2,2,40.6,Mensual,Efectivo,6.8,1212000,1
C1100,43,92,107600,3,3,0,58.8,Anual,Debito automatico,4.8,1397000,0
C1101,56,78,156500,5,3,1,70.8,Anual,Tarjeta,8.5,2049000,0
C1102,48,31,138100,4,4,2,60.5,Mensual,Efectivo,3.3,1687000,1
C1103,26,5,62600,2,1,1,5.0,Mensual,Efectivo,7.9,870000,0
C1104,50,73,131400,3,3,0,68.5,Anual,Debito automatico,6.8,1705000,0
C1105,27,4,72900,1,6,3,59.5,Anual,Efectivo,4.0,666000,1
C1106,34,1,94600,2,5,3,59.4,Mensual,Tarjeta,6.5,1255000,0
C1107,27,44,162500,4,2,1,110.7,Mensual,Tarjeta,8.0,2207000,1
C1108,19,9,74200,2,3,2,14.5,Anual,Tarjeta,7.9,982000,1
C1109,29,1,61900,1,2,0,20.8,Mensual,Tarjeta,6.4,886000,1
C1110,63,78,113900,4,2,0,30.2,Anual,Debito automatico,7.9,1429000,0
C1111,65,49,133800,3,1,2,80.3,Anual,Debito automatico,8.4,1548000,0
C1112,22,1,56000,2,2,0,27.7,Bianual,Efectivo,7.5,526000,0
C1113,53,35,142200,5,2,1,79.8,Anual,Tarjeta,7.4,1918000,0
C1114,43,54,124100,3,3,0,105.7,Bianual,Transferencia,7.1,1564000,0
C1115,26,13,55400,1,4,0,47.8,Anual,Debito automatico,5.6,809000,1
C1116,56,62,91900,3,6,1,73.2,Anual,Debito automatico,7.5,1115000,0
C1117,37,26,117200,3,2,4,56.1,Mensual,Debito automatico,3.8,1602000,0
C1118,37,38,86600,2,10,5,78.4,Mensual,Debito automatico,5.0,1002000,1
C1119,38,59,122400,3,0,1,87.7,Anual,Debito automatico,9.9,1433000,0
C1120,24,23,60300,2,2,4,48.9,Anual,Debito automatico,,756000,1
C1121,23,17,82400,2,5,5,34.5,Mensual,Efectivo,3.2,1132000,1
C1122,42,15,92300,3,1,5,54.9,Mensual,Debito automatico,2.3,1362000,0
C1123,25,15,95500,4,3,2,46.1,Mensual,Debito automatico,8.9,1280000,1
C1124,36,51,156500,4,1,1,124.4,Anual,Tarjeta,8.7,1867000,0
C1125,27,17,59400,2,3,0,35.0,Anual,Tarjeta,7.0,681000,0
C1126,48,50,107800,3,1,2,75.8,Bianual,Debito automatico,6.6,1224000,0
C1127,43,59,99900,2,0,0,69.0,Mensual,Debito automatico,8.3,1514000,0
C1128,21,9,92200,2,1,3,42.8,Mensual,Efectivo,7.0,1261000,1
C1129,37,19,41600,2,4,0,5.8,Anual,Debito automatico,6.1,669000,0
C1130,49,36,87600,2,6,4,70.8,Mensual,Efectivo,5.4,1124000,1
C1131,31,1,92400,3,3,0,47.1,Mensual,Debito automatico,9.3,1250000,0
C1132,60,53,143200,4,2,2,79.0,Anual,Debito automatico,6.2,1856000,0
C1133,47,46,117800,3,3,2,58.5,Anual,Transferencia,2.8,1420000,1
C1134,51,52,121400,4,2,1,97.0,Bianual,Debito automatico,7.2,1455000,0
C1135,41,1,87800,2,11,4,64.7,Mensual,Debito automatico,6.1,1107000,1
C1136,32,1,65000,1,4,0,21.6,Anual,Debito automatico,7.7,768000,0
C1137,56,89,169800,4,2,1,101.6,Bianual,Debito automatico,7.2,2033000,0
C1138,32,44,117200,4,1,3,82.4,Anual,Transferencia,8.3,1394000,0
C1139,42,17,84800,2,5,5,74.4,Anual,Debito automatico,3.1,1065000,1
C1140,18,28,64800,2,5,1,5.0,Mensual,Tarjeta,7.5,907000,0
C1141,34,33,127200,3,3,0,108.4,Mensual,Debito automatico,7.8,1668000,0
C1142,52,37,132000,4,1,0,111.5,Bianual,Tarjeta,8.0,1527000,0
C1143,59,81,142700,5,0,1,72.5,Bianual,Debito automatico,8.2,1752000,0
C1144,54,53,142500,3,3,0,,Bianual,Debito automatico,8.1,1657000,0
C1145,39,55,110600,3,1,1,96.9,Bianual,Transferencia,8.0,1333000,0
C1146,18,21,99100,3,3,3,23.7,Bianual,Transferencia,6.4,1297000,0
C1147,39,51,104800,2,1,0,96.8,Anual,Debito automatico,9.3,1174000,0
C1148,42,55,116800,3,2,1,75.1,Bianual,Tarjeta,10.0,1609000,0
C1149,42,44,148100,4,2,1,78.3,Bianual,Tarjeta,9.0,1777000,0
C1150,37,9,107500,4,2,1,52.0,Anual,Debito automatico,7.4,1417000,0
C1151,49,80,132200,4,6,2,87.6,Bianual,Transferencia,7.2,1544000,0
C1152,55,81,142200,5,2,1,60.7,Anual,Debito automatico,6.5,1922000,0
C1153,19,19,62100,2,1,2,22.3,Mensual,Efectivo,7.2,809000,0
C1154,45,56,120400,3,1,0,77.7,Bianual,Tarjeta,8.5,1409000,0
C1155,27,9,77500,2,4,2,45.7,Mensual,Debito automatico,4.6,972000,1
C1156,30,13,95300,2,4,4,46.0,Mensual,Efectivo,3.7,1208000,1
C1157,39,49,106300,3,2,0,93.7,Anual,Transferencia,8.2,1383000,0
C1158,34,24,68200,1,3,6,73.9,Bianual,Efectivo,3.5,782000,0
C1159,34,27,75300,2,4,5,60.6,Mensual,Tarjeta,6.0,972000,1
C1160,51,55,108200,3,5,5,78.2,Anual,Transferencia,4.7,1274000,0
C1161,26,1,49100,2,2,2,,Bianual,Debito automatico,8.1,531000,0
C1162,50,84,134100,5,1,1,68.6,Mensual,Efectivo,7.7,1767000,0
C1163,18,23,48500,2,0,2,18.4,Anual,Tarjeta,6.5,655000,1
C1164,19,9,96800,2,6,1,50.3,Anual,Tarjeta,5.2,1277000,1
C1165,39,81,98700,3,2,0,75.7,Anual,Tarjeta,8.3,1329000,0
C1166,35,43,106300,3,3,0,93.6,Anual,Tarjeta,8.3,1347000,0
C1167,64,83,115400,3,2,0,70.9,Anual,Debito automatico,5.7,1487000,0
C1168,51,67,138200,4,2,3,55.2,Anual,Debito automatico,6.7,1708000,0
C1169,52,43,122900,4,2,1,78.3,Anual,Debito automatico,7.9,1393000,0
C1170,53,81,169300,6,3,0,94.1,Bianual,Tarjeta,7.9,2071000,0
C1171,41,60,156500,4,3,0,91.2,Mensual,Transferencia,8.9,2043000,0
C1172,40,52,122200,3,3,3,71.9,Bianual,Efectivo,7.6,1355000,1
C1173,27,26,68000,1,3,0,38.9,Bianual,Transferencia,7.0,755000,0
C1174,67,77,119400,4,3,1,69.7,Bianual,Debito automatico,7.2,1478000,0
C1175,18,3,110800,2,6,1,89.3,Anual,Efectivo,2.8,1271000,1
C1176,18,46,54400,2,2,0,38.6,Anual,Debito automatico,5.8,637000,0
C1177,36,54,122200,4,1,2,81.9,Anual,Tarjeta,9.6,1686000,0
C1178,52,68,156000,4,2,1,94.7,Anual,Transferencia,5.3,1796000,0
C1179,58,68,142800,5,4,2,42.5,Bianual,Tarjeta,7.5,1736000,0
C1180,40,11,81700,1,5,2,63.5,Anual,Debito automatico,6.1,885000,0
C1181,49,91,148200,6,2,2,103.9,Anual,Debito automatico,6.4,1833000,0
C1182,61,73,103500,3,2,0,70.1,Anual,Debito automatico,7.4,1291000,0
C1183,50,50,110200,4,0,2,60.3,Bianual,Debito automatico,6.7,1246000,0
C1184,43,47,114000,3,6,0,81.7,Anual,Debito automatico,10.0,1506000,0
C1185,44,34,86400,2,4,9,85.3,Mensual,Debito automatico,4.0,1213000,1
C1186,38,12,92800,2,7,3,68.0,Mensual,Transferencia,4.2,1303000,0
C1187,36,33,146100,4,1,1,74.6,Bianual,Tarjeta,10.0,1854000,0
C1188,33,11,66500,2,1,1,23.0,Anual,Tarjeta,7.2,704000,1
C1189,37,32,101100,3,6,4,53.0,Mensual,Efectivo,3.0,1320000,1
C1190,27,13,80000,3,5,1,39.8,Anual,Efectivo,5.6,1084000,0
C1191,65,67,132300,5,2,3,93.4,Bianual,Tarjeta,8.0,1702000,0
C1192,18,17,73200,3,2,1,50.8,Bianual,Efectivo,5.6,1078000,0
C1193,18,1,55300,2,1,0,41.3,Mensual,Tarjeta,3.8,852000,0
C1194,42,71,131200,5,5,0,50.7,Anual,Transferencia,7.3,1791000,0
C1195,24,1,63900,2,4,0,12.8,Bianual,Efectivo,4.5,1045000,0
C1196,25,26,54200,1,1,0,42.5,Mensual,Tarjeta,8.4,718000,0
C1197,23,33,97400,3,2,7,40.5,Mensual,Debito automatico,4.3,1229000,0
C1198,44,86,155700,5,3,0,68.4,Anual,Tarjeta,6.3,2001000,0
C1199,20,25,100300,2,5,2,38.9,Mensual,Tarjeta,5.5,1228000,0
C1200,62,87,129700,4,3,1,69.8,Bianual,Debito automatico,5.9,1587000,0
C1201,51,1,92900,3,11,7,45.6,Mensual,Transferencia,2.7,1076000,1
C1202,49,68,133800,4,1,0,70.5,Bianual,Debito automatico,8.7,1575000,0
C1203,38,39,109100,1,2,1,96.1,Anual,Debito automatico,10.0,1302000,0
C1204,18,1,74300,3,5,1,51.0,Mensual,Transferencia,7.3,1116000,1
C1205,18,1,84500,1,3,3,43.7,Mensual,Transferencia,6.3,1179000,0
C1206,26,4,56500,1,3,0,35.2,Mensual,Debito automatico,5.9,655000,1
C1207,19,1,47400,1,6,1,22.1,Mensual,Debito automatico,5.2,836000,1
C1208,35,29,80400,2,8,7,44.9,Mensual,Transferencia,6.7,1057000,1
C1209,18,9,56300,1,2,0,25.8,Mensual,Tarjeta,6.2,762000,1
C1210,35,55,110900,3,2,1,94.6,Anual,Tarjeta,10.0,1236000,0
C1211,37,31,86900,2,7,2,67.4,Anual,Debito automatico,5.8,1036000,1
C1212,39,32,95500,3,5,3,28.4,Mensual,Tarjeta,1.9,1376000,0
C1213,31,3,97500,4,5,0,21.4,Mensual,Tarjeta,5.6,1367000,1
C1214,41,108,153700,5,2,3,91.3,Anual,Debito automatico,6.6,1944000,0
C1215,43,27,93600,3,1,3,63.3,Anual,Transferencia,4.0,1188000,1
C1216,29,1,86300,2,9,5,39.3,Mensual,Debito automatico,4.0,999000,1
C1217,32,1,102600,2,7,1,71.7,Anual,Tarjeta,10.0,1277000,0
C1218,27,1,82400,2,0,2,33.5,Anual,Debito automatico,5.1,1144000,1
C1219,40,78,137400,4,1,2,78.1,Mensual,Tarjeta,7.7,1919000,0
C1220,38,46,130800,3,1,0,94.4,Bianual,Efectivo,9.1,1552000,0
C1221,44,41,137700,4,1,1,82.1,Bianual,Tarjeta,8.3,1811000,0
C1222,46,76,170800,5,2,0,76.4,Bianual,Tarjeta,8.4,1956000,0
C1223,35,32,120400,2,6,3,95.9,Mensual,Transferencia,2.8,1471000,1
C1224,65,88,118300,3,2,1,88.1,Bianual,Debito automatico,7.5,1597000,0
C1225,50,35,112500,3,2,1,101.2,Anual,Tarjeta,8.9,1463000,1
C1226,50,64,116400,3,1,2,81.2,Anual,Tarjeta,7.8,1415000,0
C1227,33,9,53600,2,1,1,17.9,Anual,Tarjeta,7.1,678000,0
C1228,57,50,148600,4,1,1,108.4,Anual,Tarjeta,10.0,1780000,0
C1229,53,1,78800,2,6,3,48.5,Mensual,Tarjeta,5.3,1070000,1
C1230,18,5,86800,2,4,1,38.5,Mensual,Debito automatico,6.5,1169000,1
C1231,19,8,42600,2,3,0,7.8,Mensual,Efectivo,4.9,603000,1
C1232,54,45,98100,4,1,0,55.3,Anual,Debito automatico,7.5,1160000,0
C1233,43,67,114500,3,2,1,77.1,Bianual,Tarjeta,7.1,1402000,0
C1234,25,16,68800,2,3,5,49.1,Anual,Efectivo,4.4,791000,1
C1235,48,76,112800,5,1,1,40.2,Bianual,Debito automatico,6.8,1316000,0
C1236,56,79,151100,6,4,0,80.6,Bianual,Debito automatico,6.2,2011000,0
C1237,40,56,129900,3,2,3,121.9,Anual,Efectivo,6.8,1804000,1
C1238,30,39,117800,3,6,1,84.2,Mensual,Transferencia,2.0,1758000,1
C1239,21,4,63000,2,6,4,29.9,Mensual,Tarjeta,6.1,901000,1
C1240,21,2,68200,2,2,1,34.1,Mensual,Efectivo,4.6,883000,1
C1241,45,84,149700,5,2,0,86.2,Anual,Transferencia,6.1,1903000,0
C1242,55,33,129200,3,7,3,80.0,Mensual,Efectivo,3.6,1744000,1
C1243,30,2,100300,3,2,1,28.5,Mensual,Efectivo,4.7,1297000,1
C1244,49,59,134300,4,0,0,88.5,Anual,Debito automatico,8.8,1817000,0
C1245,32,38,132600,5,4,3,66.8,Anual,Tarjeta,5.0,1501000,0
C1246,50,96,132200,4,2,1,80.9,Anual,Debito automatico,6.7,1640000,0
C1247,30,49,116200,4,9,3,59.9,Anual,Efectivo,3.6,1573000,1
C1248,18,36,138400,4,4,0,86.1,Bianual,Transferencia,9.0,1611000,0
C1249,29,48,174200,5,2,1,110.1,Anual,Debito automatico,7.4,2167000,0
C1250,26,48,102800,3,2,0,107.4,Bianual,Debito automatico,7.3,1309000,0
C1251,18,23,109300,3,5,3,69.6,Mensual,Debito automatico,,1592000,1
C1252,42,69,179000,6,1,0,99.5,Anual,Debito automatico,8.5,2155000,0
C1253,52,27,117600,3,2,0,81.8,Anual,Debito automatico,9.1,1346000,0
C1254,27,9,74800,2,6,2,60.0,Anual,Tarjeta,7.6,858000,1
C1255,38,1,49100,1,7,1,42.7,Mensual,Transferencia,3.9,519000,1
C1256,39,25,124300,2,8,2,114.3,Mensual,Debito automatico,,1489000,1
C1257,59,67,104400,4,1,1,52.9,Anual,Transferencia,7.9,1244000,0
C1258,19,1,47300,2,4,0,23.0,Mensual,Tarjeta,7.7,781000,0
C1259,31,11,112700,4,0,0,40.7,Mensual,Efectivo,6.9,1489000,0
C1260,42,26,125100,4,7,5,68.4,Mensual,Tarjeta,4.2,1670000,1
C1261,22,16,70100,1,1,1,65.2,Anual,Tarjeta,6.1,759000,0
C1262,57,109,126500,5,1,2,61.3,Anual,Debito automatico,7.9,1677000,0
C1263,46,52,134700,4,0,1,102.5,Bianual,Transferencia,7.9,1802000,0
C1264,22,15,83100,1,3,1,52.6,Mensual,Efectivo,7.5,987000,0
C1265,42,63,118300,4,3,1,83.3,Bianual,Transferencia,5.4,1616000,0
C1266,18,1,39400,2,4,1,18.6,Anual,Efectivo,5.7,564000,0
C1267,42,70,111500,2,0,1,110.5,Anual,Tarjeta,10.0,1361000,0
C1268,30,1,64100,1,4,1,53.7,Anual,Transferencia,5.6,830000,1
C1269,20,1,73800,2,2,1,43.6,Mensual,Efectivo,,1016000,1
C1270,27,7,81100,2,4,0,,Anual,Transferencia,5.3,1204000,0
C1271,32,7,72200,1,3,0,37.6,Anual,Tarjeta,6.8,940000,1
C1272,32,1,60400,1,1,1,32.7,Anual,Efectivo,5.5,787000,0
C1273,40,4,82600,2,2,0,44.3,Mensual,Tarjeta,6.2,1056000,1
C1274,47,41,106900,3,2,3,62.5,Anual,Debito automatico,5.2,1407000,0
C1275,27,13,82500,2,5,4,48.4,Mensual,Tarjeta,3.2,987000,1
C1276,55,28,122100,5,2,0,71.2,Anual,Tarjeta,9.3,1595000,0
C1277,36,61,100700,3,3,0,76.0,Bianual,Debito automatico,9.3,1507000,0
C1278,50,55,119000,4,1,0,91.6,Bianual,Tarjeta,9.6,1221000,0
C1279,53,69,126900,4,4,1,71.6,Anual,Debito automatico,7.6,1637000,0
C1280,48,56,144000,5,5,4,75.4,Bianual,Transferencia,10.0,1783000,1
C1281,18,1,43400,1,1,2,42.0,Mensual,Efectivo,7.7,537000,1
C1282,26,7,84800,3,3,0,24.0,Mensual,Tarjeta,6.8,1136000,0
C1283,18,24,57600,1,3,0,57.5,Anual,Debito automatico,5.3,728000,1
C1284,35,1,70200,3,1,0,29.7,Anual,Tarjeta,6.3,890000,1
C1285,54,47,121000,4,1,1,81.1,Bianual,Tarjeta,10.0,1495000,0
C1286,34,57,119200,4,4,2,95.7,Anual,Debito automatico,10.0,1470000,0
C1287,30,1,77100,3,3,1,5.0,Anual,Transferencia,8.2,1189000,0
C1288,35,62,122700,4,3,0,75.4,Anual,Tarjeta,9.3,1545000,0
C1289,36,31,142000,3,0,0,103.7,Mensual,Tarjeta,6.7,1910000,0
C1290,34,13,47500,2,1,0,6.2,Anual,Tarjeta,7.0,556000,0
C1291,52,81,163600,6,3,0,89.9,Anual,Debito automatico,5.8,2194000,0
C1292,42,23,92800,1,2,1,58.2,Mensual,Debito automatico,4.5,1257000,0
C1293,48,86,136100,6,2,0,66.1,Mensual,Debito automatico,7.7,1915000,0
C1294,35,1,87100,2,3,1,,Anual,Tarjeta,7.1,989000,0
C1295,53,67,154500,4,5,3,89.9,Bianual,Tarjeta,8.5,1783000,0
C1296,59,80,120700,3,2,1,64.5,Bianual,Transferencia,8.0,1607000,0
C1297,48,75,139900,4,1,2,85.9,Mensual,Debito automatico,8.1,1775000,0
C1298,52,85,124900,3,2,2,61.3,Anual,Transferencia,6.2,1608000,0
C1299,35,35,84800,2,7,4,54.4,Mensual,Transferencia,4.0,1026000,1
C1300,29,33,69600,2,1,5,49.2,Mensual,Tarjeta,2.2,987000,1
C1301,42,21,71700,1,8,4,67.5,Anual,Transferencia,1.6,812000,1
C1302,33,1,70900,2,5,2,,Anual,Efectivo,7.3,806000,0
C1303,46,42,103700,3,1,1,85.1,Anual,Debito automatico,7.4,1233000,0
C1304,54,54,124100,3,2,1,67.7,Bianual,Transferencia,9.4,1433000,0
C1305,64,63,108900,4,1,1,54.7,Bianual,Efectivo,8.8,1376000,0
C1306,38,57,134600,4,1,3,94.3,Anual,Debito automatico,7.5,1683000,0
C1307,44,61,129200,4,1,0,117.5,Anual,Tarjeta,9.0,1532000,0
C1308,31,26,85900,2,2,8,68.3,Anual,Debito automatico,3.3,1013000,1
C1309,27,1,53500,2,3,1,27.8,Mensual,Tarjeta,4.1,621000,1
C1310,22,1,63600,2,2,0,46.3,Anual,Transferencia,6.6,874000,0
C1311,55,74,110100,3,1,2,84.2,Anual,Tarjeta,7.7,1447000,0
C1312,44,40,126200,3,4,0,81.9,Anual,Tarjeta,7.7,1584000,0
C1313,25,1,69700,2,1,2,18.7,Mensual,Debito automatico,8.9,941000,1
C1314,51,65,154400,4,3,0,110.5,Bianual,Debito automatico,6.4,2034000,0
C1315,23,48,97900,3,3,0,47.4,Anual,Transferencia,8.8,1234000,0
C1316,24,63,133400,4,0,2,100.8,Anual,Transferencia,7.1,1576000,0
C1317,48,52,132100,3,0,1,80.6,Mensual,Tarjeta,9.4,1780000,0
C1318,37,30,79500,2,6,4,55.4,Mensual,Transferencia,4.5,938000,1
C1319,43,53,145300,3,0,0,115.1,Bianual,Debito automatico,8.8,1703000,0
C1320,41,88,160500,6,2,0,60.6,Bianual,Tarjeta,6.2,1931000,0
C1321,52,110,115000,4,0,0,61.1,Bianual,Debito automatico,6.4,1343000,0
C1322,58,62,108200,3,1,1,85.9,Anual,Efectivo,9.5,1330000,0
C1323,48,26,140000,5,0,0,94.6,Anual,Tarjeta,10.0,1872000,1
C1324,42,54,101300,3,0,1,80.9,Mensual,Tarjeta,8.9,1446000,0
C1325,48,94,137000,6,4,2,46.8,Bianual,Debito automatico,6.3,1804000,0
C1326,33,41,94200,2,7,4,48.1,Bianual,Tarjeta,4.5,1152000,1
C1327,34,72,114000,3,3,1,92.5,Bianual,Debito automatico,10.0,1351000,0
C1328,43,64,133700,3,2,2,89.2,Anual,Debito automatico,8.4,1426000,0
C1329,43,37,91700,2,7,6,69.2,Mensual,Transferencia,5.9,1222000,1
